"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EU27_2020","QGDP","VOLIDX","IDX","Q","1996-Q1",73.156728157,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1996-Q2",73.684596898,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1996-Q3",74.008907431,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1996-Q4",74.319001857,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1997-Q1",74.612078114,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1997-Q2",75.508920594,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1997-Q3",76.091401141,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1997-Q4",76.939841137,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1998-Q1",77.439976017,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1998-Q2",77.79805873,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1998-Q3",78.28705127,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1998-Q4",78.439753217,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1999-Q1",79.183818766,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1999-Q2",79.631853395,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1999-Q3",80.575399798,
"EU27_2020","QGDP","VOLIDX","IDX","Q","1999-Q4",81.492295454,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2000-Q1",82.458590492,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2000-Q2",83.271754476,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2000-Q3",83.757346381,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2000-Q4",84.301136783,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2001-Q1",85.035897719,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2001-Q2",85.143657274,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2001-Q3",85.323331915,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2001-Q4",85.391412432,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2002-Q1",85.537606782,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2002-Q2",86.026683813,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2002-Q3",86.407001372,
"EU27_2020","QGDP","VOLIDX","IDX","Q","2002-Q4",86.57171745,
