"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","QGDP","VOLIDX","IDX","Q","1996-Q1",91.718047894,
"ITA","QGDP","VOLIDX","IDX","Q","1996-Q2",91.722445743,
"ITA","QGDP","VOLIDX","IDX","Q","1996-Q3",91.824683637,
"ITA","QGDP","VOLIDX","IDX","Q","1996-Q4",91.54239976,
"ITA","QGDP","VOLIDX","IDX","Q","1997-Q1",91.821445661,
"ITA","QGDP","VOLIDX","IDX","Q","1997-Q2",93.081018457,
"ITA","QGDP","VOLIDX","IDX","Q","1997-Q3",93.740526578,
"ITA","QGDP","VOLIDX","IDX","Q","1997-Q4",95.363815941,
"ITA","QGDP","VOLIDX","IDX","Q","1998-Q1",94.647739889,
"ITA","QGDP","VOLIDX","IDX","Q","1998-Q2",95.210060392,
"ITA","QGDP","VOLIDX","IDX","Q","1998-Q3",95.326216753,
"ITA","QGDP","VOLIDX","IDX","Q","1998-Q4",94.859319896,
"ITA","QGDP","VOLIDX","IDX","Q","1999-Q1",95.458128043,
"ITA","QGDP","VOLIDX","IDX","Q","1999-Q2",95.822956153,
"ITA","QGDP","VOLIDX","IDX","Q","1999-Q3",96.678386007,
"ITA","QGDP","VOLIDX","IDX","Q","1999-Q4",98.020768839,
"ITA","QGDP","VOLIDX","IDX","Q","2000-Q1",99.225827646,
"ITA","QGDP","VOLIDX","IDX","Q","2000-Q2",99.898070196,
"ITA","QGDP","VOLIDX","IDX","Q","2000-Q3",100.593848485,
"ITA","QGDP","VOLIDX","IDX","Q","2000-Q4",102.158805945,
"ITA","QGDP","VOLIDX","IDX","Q","2001-Q1",102.691718857,
"ITA","QGDP","VOLIDX","IDX","Q","2001-Q2",102.405931199,
"ITA","QGDP","VOLIDX","IDX","Q","2001-Q3",101.984148535,
"ITA","QGDP","VOLIDX","IDX","Q","2001-Q4",101.799777196,
"ITA","QGDP","VOLIDX","IDX","Q","2002-Q1",102.028223676,
"ITA","QGDP","VOLIDX","IDX","Q","2002-Q2",102.388533118,
"ITA","QGDP","VOLIDX","IDX","Q","2002-Q3",102.572252029,
"ITA","QGDP","VOLIDX","IDX","Q","2002-Q4",102.911417968,
"ITA","QGDP","VOLIDX","IDX","Q","2003-Q1",102.603375264,
"ITA","QGDP","VOLIDX","IDX","Q","2003-Q2",102.494540597,
"ITA","QGDP","VOLIDX","IDX","Q","2003-Q3",102.424827449,
"ITA","QGDP","VOLIDX","IDX","Q","2003-Q4",103.376550853,
"ITA","QGDP","VOLIDX","IDX","Q","2004-Q1",103.620679771,
"ITA","QGDP","VOLIDX","IDX","Q","2004-Q2",103.963083687,
"ITA","QGDP","VOLIDX","IDX","Q","2004-Q3",103.910551145,
"ITA","QGDP","VOLIDX","IDX","Q","2004-Q4",104.251553549,
"ITA","QGDP","VOLIDX","IDX","Q","2005-Q1",103.97330506,
"ITA","QGDP","VOLIDX","IDX","Q","2005-Q2",104.849878416,
"ITA","QGDP","VOLIDX","IDX","Q","2005-Q3",105.597077702,
"ITA","QGDP","VOLIDX","IDX","Q","2005-Q4",105.638035686,
"ITA","QGDP","VOLIDX","IDX","Q","2006-Q1",105.8032933,
"ITA","QGDP","VOLIDX","IDX","Q","2006-Q2",106.591982179,
"ITA","QGDP","VOLIDX","IDX","Q","2006-Q3",107.11994147,
"ITA","QGDP","VOLIDX","IDX","Q","2006-Q4",108.525392349,
"ITA","QGDP","VOLIDX","IDX","Q","2007-Q1",108.22353563,
"ITA","QGDP","VOLIDX","IDX","Q","2007-Q2",108.479722385,
"ITA","QGDP","VOLIDX","IDX","Q","2007-Q3",108.65996168,
"ITA","QGDP","VOLIDX","IDX","Q","2007-Q4",108.309825283,
"ITA","QGDP","VOLIDX","IDX","Q","2008-Q1",109.583582348,
"ITA","QGDP","VOLIDX","IDX","Q","2008-Q2",108.489146346,
"ITA","QGDP","VOLIDX","IDX","Q","2008-Q3",107.144298785,
"ITA","QGDP","VOLIDX","IDX","Q","2008-Q4",104.284295772,
"ITA","QGDP","VOLIDX","IDX","Q","2009-Q1",101.737047445,
"ITA","QGDP","VOLIDX","IDX","Q","2009-Q2",101.124175849,
"ITA","QGDP","VOLIDX","IDX","Q","2009-Q3",101.690966692,
"ITA","QGDP","VOLIDX","IDX","Q","2009-Q4",102.042842897,
"ITA","QGDP","VOLIDX","IDX","Q","2010-Q1",102.381815525,
"ITA","QGDP","VOLIDX","IDX","Q","2010-Q2",103.140396056,
